id_rater	36	39	43	45	47	242	325	331	351	390	415	416	442	532	569	582	607	610	623	625	649	654	665	682	693	700	704
304	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
305	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea
306	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Nay	Yea
307	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
311	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea
314	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Yea	Yea
316	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 
317	Nay	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea
318	Nay	Nay	Yea	Nay	Nay	 	Yea	Nay	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
322	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	 	Yea	Yea	Yea	Nay	Nay	Nay
323	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
325	Nay	 	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay
326	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Nay	 	Nay	Nay	 	Nay	Nay	Nay
327	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Yea	Nay
328	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	 	 	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Nay
329	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	 	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
340	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	 	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	 	 	 
341	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
342	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
344	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
352	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
353	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	 	Yea	Nay	Nay	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
354	Nay	Nay	Yea	Nay	Nay	Yea	 	 	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Nay	Nay
355	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
357	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
359	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Nay	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea
360	Nay	Nay	Yea	Nay	Nay	Yea	 	 	Nay	Yea	Yea	Nay	Nay	Nay	 	Nay	Nay	Nay	Yea	Yea	 	Nay	Nay	Yea	 	 	 
362	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	 	 	Yea
